"schema_name","table_name","index_name","index_type","is_unique","is_primary_key","is_unique_constraint","key_ordinal","column_name","is_descending_key","is_included_column"
"dbo","Literature","IX_Literature_StatusCategoryAddtime","NONCLUSTERED","False","False","False","3","addtime","False","False"
"dbo","Literature","IX_Literature_StatusPublishYear","NONCLUSTERED","False","False","False","1","status","False","False"
"dbo","Literature","IX_Literature_StatusPublishYear","NONCLUSTERED","False","False","False","2","publish_year","False","False"
"dbo","Literature","PK_Literature","CLUSTERED","True","True","False","1","id","False","False"
"dbo","LiteratureAuthorInstitutionMap","IX_LitAuthorInstitution_AuthorLiterature","NONCLUSTERED","False","False","False","0","institution_id","False","True"
"dbo","LiteratureAuthorInstitutionMap","IX_LitAuthorInstitution_AuthorLiterature","NONCLUSTERED","False","False","False","0","affiliation_text","False","True"
"dbo","LiteratureAuthorInstitutionMap","IX_LitAuthorInstitution_AuthorLiterature","NONCLUSTERED","False","False","False","0","is_current_for_author","False","True"
"dbo","LiteratureAuthorInstitutionMap","IX_LitAuthorInstitution_AuthorLiterature","NONCLUSTERED","False","False","False","1","author_id","False","False"
"dbo","LiteratureAuthorInstitutionMap","IX_LitAuthorInstitution_AuthorLiterature","NONCLUSTERED","False","False","False","2","literature_id","False","False"
"dbo","LiteratureAuthorInstitutionMap","IX_LitAuthorInstitution_AuthorLiterature","NONCLUSTERED","False","False","False","3","institution_order","False","False"
"dbo","LiteratureAuthorInstitutionMap","IX_LitAuthorInstitution_AuthorLiterature","NONCLUSTERED","False","False","False","4","id","False","False"
"dbo","LiteratureAuthorInstitutionMap","IX_LiteratureAuthorInstitutionMap_author","NONCLUSTERED","False","False","False","1","author_id","False","False"
"dbo","LiteratureAuthorInstitutionMap","IX_LiteratureAuthorInstitutionMap_author","NONCLUSTERED","False","False","False","2","institution_id","False","False"
"dbo","LiteratureAuthorInstitutionMap","IX_LiteratureAuthorInstitutionMap_literature","NONCLUSTERED","False","False","False","1","literature_id","False","False"
"dbo","LiteratureAuthorInstitutionMap","IX_LiteratureAuthorInstitutionMap_literature","NONCLUSTERED","False","False","False","2","author_order","False","False"
"dbo","LiteratureAuthorInstitutionMap","IX_LiteratureAuthorInstitutionMap_literature","NONCLUSTERED","False","False","False","3","institution_order","False","False"
"dbo","LiteratureAuthorInstitutionMap","PK__Literatu__3213E83F01794CA2","CLUSTERED","True","True","False","1","id","False","False"
"dbo","LiteratureAuthorMap","IX_LiteratureAuthorMap_Author","NONCLUSTERED","False","False","False","1","author_id","False","False"
"dbo","LiteratureAuthorMap","IX_LiteratureAuthorMap_Author","NONCLUSTERED","False","False","False","2","literature_id","False","False"
"dbo","LiteratureAuthorMap","IX_LiteratureAuthorMap_AuthorLiterature","NONCLUSTERED","False","False","False","1","author_id","False","False"
"dbo","LiteratureAuthorMap","IX_LiteratureAuthorMap_AuthorLiterature","NONCLUSTERED","False","False","False","2","literature_id","False","False"
"dbo","LiteratureAuthorMap","IX_LiteratureAuthorMap_AuthorLiterature","NONCLUSTERED","False","False","False","3","author_order","False","False"
"dbo","LiteratureAuthorMap","PK_LiteratureAuthorMap","CLUSTERED","True","True","False","1","id","False","False"
"dbo","LiteratureAuthorMap","UX_LiteratureAuthorMap_LitAuthor","NONCLUSTERED","True","False","False","1","literature_id","False","False"
"dbo","LiteratureAuthorMap","UX_LiteratureAuthorMap_LitAuthor","NONCLUSTERED","True","False","False","2","author_id","False","False"
"dbo","LiteratureCategory","PK_LiteratureCategory","CLUSTERED","True","True","False","1","id","False","False"
"dbo","LiteratureComment","IX_LiteratureComment_Literature_Status","NONCLUSTERED","False","False","False","1","canonical_literature_id","False","False"
"dbo","LiteratureComment","IX_LiteratureComment_Literature_Status","NONCLUSTERED","False","False","False","2","literature_id","False","False"
"dbo","LiteratureComment","IX_LiteratureComment_Literature_Status","NONCLUSTERED","False","False","False","3","parent_id","False","False"
"dbo","LiteratureComment","IX_LiteratureComment_Literature_Status","NONCLUSTERED","False","False","False","4","status","False","False"
"dbo","LiteratureComment","IX_LiteratureComment_Literature_Status","NONCLUSTERED","False","False","False","5","is_deleted","False","False"
"dbo","LiteratureComment","IX_LiteratureComment_Literature_Status","NONCLUSTERED","False","False","False","6","addtime","True","False"
"dbo","LiteratureComment","IX_LiteratureComment_User","NONCLUSTERED","False","False","False","1","userid","False","False"
"dbo","LiteratureComment","IX_LiteratureComment_User","NONCLUSTERED","False","False","False","2","is_deleted","False","False"
"dbo","LiteratureComment","IX_LiteratureComment_User","NONCLUSTERED","False","False","False","3","status","False","False"
"dbo","LiteratureComment","IX_LiteratureComment_User","NONCLUSTERED","False","False","False","4","addtime","True","False"
"dbo","LiteratureComment","PK_LiteratureComment","CLUSTERED","True","True","False","1","id","False","False"
"dbo","LiteratureDownloadLog","PK_LiteratureDownloadLog","CLUSTERED","True","True","False","1","id","False","False"
"dbo","LiteratureDownloadLog","UX_LiteratureDownloadLog_UserLiterature","NONCLUSTERED","True","False","False","1","user_id","False","False"
"dbo","LiteratureDownloadLog","UX_LiteratureDownloadLog_UserLiterature","NONCLUSTERED","True","False","False","2","literature_id","False","False"
"dbo","LiteratureExportLog","PK_LiteratureExportLog","CLUSTERED","True","True","False","1","id","False","False"
"dbo","LiteratureFavorite","PK_LiteratureFavorite","CLUSTERED","True","True","False","1","id","False","False"
"dbo","LiteratureFavorite","UX_LiteratureFavorite_literature_user","NONCLUSTERED","True","False","False","1","literature_id","False","False"
"dbo","LiteratureFavorite","UX_LiteratureFavorite_literature_user","NONCLUSTERED","True","False","False","2","userid","False","False"
"dbo","LiteratureFavorite","UX_LiteratureFavorite_LiteratureUser","NONCLUSTERED","True","False","False","1","literature_id","False","False"
"dbo","LiteratureFavorite","UX_LiteratureFavorite_LiteratureUser","NONCLUSTERED","True","False","False","2","userid","False","False"
"dbo","LiteratureFile","IX_LiteratureFile_LiteratureStatus","NONCLUSTERED","False","False","False","1","literature_id","False","False"
"dbo","LiteratureFile","IX_LiteratureFile_LiteratureStatus","NONCLUSTERED","False","False","False","2","status","False","False"
"dbo","LiteratureFile","IX_LiteratureFile_LiteratureStatus","NONCLUSTERED","False","False","False","3","orderid","False","False"
"dbo","LiteratureFile","PK_LiteratureFile","CLUSTERED","True","True","False","1","id","False","False"
"dbo","LiteratureImportBatch","PK_LiteratureImportBatch","CLUSTERED","True","True","False","1","id","False","False"
"dbo","LiteratureImportError","PK_LiteratureImportError","CLUSTERED","True","True","False","1","id","False","False"
"dbo","LiteratureLike","PK_LiteratureLike","CLUSTERED","True","True","False","1","id","False","False"
"dbo","LiteratureLike","UX_LiteratureLike_literature_user","NONCLUSTERED","True","False","False","1","literature_id","False","False"
"dbo","LiteratureLike","UX_LiteratureLike_literature_user","NONCLUSTERED","True","False","False","2","userid","False","False"
"dbo","LiteratureTag","IX_LiteratureTag_Name","NONCLUSTERED","False","False","False","1","name","False","False"
"dbo","LiteratureTag","PK_LiteratureTag","CLUSTERED","True","True","False","1","id","False","False"
"dbo","LiteratureTagMap","IX_LiteratureTagMap_Tag","NONCLUSTERED","False","False","False","1","tag_id","False","False"
"dbo","LiteratureTagMap","IX_LiteratureTagMap_Tag","NONCLUSTERED","False","False","False","2","literature_id","False","False"
"dbo","LiteratureTagMap","PK_LiteratureTagMap","CLUSTERED","True","True","False","1","id","False","False"
"dbo","LiteratureTagMap","UX_LiteratureTagMap_LitTag","NONCLUSTERED","True","False","False","1","literature_id","False","False"
"dbo","LiteratureTagMap","UX_LiteratureTagMap_LitTag","NONCLUSTERED","True","False","False","2","tag_id","False","False"
"dbo","LiteratureVenueProfile","PK__Literatu__3213E83FA0EA3D73","CLUSTERED","True","True","False","1","id","False","False"
"dbo","LiteratureVenueProfile","UX_LiteratureVenueProfile_type_name","NONCLUSTERED","True","False","False","1","venue_type","False","False"
"dbo","LiteratureVenueProfile","UX_LiteratureVenueProfile_type_name","NONCLUSTERED","True","False","False","2","venue_name","False","False"
"dbo","logincode_list","PK_logincode_list","CLUSTERED","True","True","False","1","code","False","False"
"dbo","LoginSingle_List","PK_LoginSingle_List","CLUSTERED","True","True","False","1","Id","False","False"
"dbo","model_list","PK_model_list","CLUSTERED","True","True","False","1","id","False","False"
"dbo","NoticeLog_List","IX_NoticeLog_List_UserStatusAddtime","NONCLUSTERED","False","False","False","1","userid","False","False"
"dbo","NoticeLog_List","IX_NoticeLog_List_UserStatusAddtime","NONCLUSTERED","False","False","False","2","status","False","False"
"dbo","NoticeLog_List","IX_NoticeLog_List_UserStatusAddtime","NONCLUSTERED","False","False","False","3","addtime","True","False"
"dbo","NoticeLog_List","PK_NoticeLog_List","CLUSTERED","True","True","False","1","id","False","False"
"dbo","NoticeLogStatus_List","PK_NoticeLogStatus_List","CLUSTERED","True","True","False","1","id","False","False"
"dbo","NoticeLogStatus_List","UX_NoticeLogStatus_List_name","NONCLUSTERED","True","False","False","1","name","False","False"
"dbo","NoticeLogType_List","PK_NoticeLogType_List","CLUSTERED","True","True","False","1","id","False","False"
"dbo","NoticeLogType_List","UX_NoticeLogType_List_name","NONCLUSTERED","True","False","False","1","name","False","False"
"dbo","popedom","PK_popedom","CLUSTERED","True","True","False","1","id","False","False"
"dbo","popedomhead","PK_popedomhead","CLUSTERED","True","True","False","1","id","False","False"
"dbo","popedomhead","UX_popedomhead_admin_popedom","NONCLUSTERED","True","False","False","1","adminid","False","False"
"dbo","popedomhead","UX_popedomhead_admin_popedom","NONCLUSTERED","True","False","False","2","popedomid","False","False"
"dbo","ServiceLog_List","PK_ServiceLog_List","CLUSTERED","True","True","False","1","id","False","False"
